measurementID,version,lang,startTime,uuid,newcontainer,vmuptime,platform,containerID,functionName,functionMemory,functionRegion,vmID,linuxVersion,totalMemory,freeMemory,pageFaults,cpuType,cpuModel,cpuUsr,cpuNice,cpuKrn,cpuIdle,cpuIowait,cpuIrq,cpuSoftIrq,vmcpusteal,contextSwitches,frameworkRuntime,runtime,endTime,network_rx_bytes.lo,network_rx_bytes.vtarget_1,network_rx_bytes.vinternal_1,network_rx_bytes.telemetry1_sb
30,0.5,python,1638818059302,e1bc42a4-99d7-4f0f-b5f0-df10bd0c9ee2,0,1638816612,AWS Lambda,2021/12/06/[$LATEST]f7127a44e8e64b77bdef9cf69e5e6869,root_lambda,1769,us-east-1,,Linux 169.254.33.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2403520,318352,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1802,0,255,287164,35,0,4,47,40315,75,75,1638818059377,30776,0,94539799,90
0,0.5,python,1638818023958,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2542388,207281,Intel(R) Xeon(R) Processor @ 2.50GHz,63,349,0,236,810733,52,0,5,122,48387,149,149,1638818024107,68268,0,1813575,90
1,0.5,python,1638818025108,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2540820,212895,Intel(R) Xeon(R) Processor @ 2.50GHz,63,351,0,244,810940,52,0,5,123,49100,84,84,1638818025192,68268,0,1815595,90
2,0.5,python,1638818026193,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2539376,218535,Intel(R) Xeon(R) Processor @ 2.50GHz,63,353,0,249,811148,52,0,5,124,49742,86,86,1638818026279,68268,0,2739795,90
3,0.5,python,1638818027280,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2467244,242022,Intel(R) Xeon(R) Processor @ 2.50GHz,63,445,0,265,811272,53,0,5,124,50305,188,188,1638818027468,68268,0,3338924,90
4,0.5,python,1638818028469,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2389048,266159,Intel(R) Xeon(R) Processor @ 2.50GHz,63,545,0,283,811390,53,0,5,124,50948,194,195,1638818028664,68268,0,3338924,90
5,0.5,python,1638818029665,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2372352,275897,Intel(R) Xeon(R) Processor @ 2.50GHz,63,652,0,291,811507,53,0,5,125,51480,164,164,1638818029829,68268,0,3338966,90
6,0.5,python,1638818030830,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2372252,281350,Intel(R) Xeon(R) Processor @ 2.50GHz,63,758,0,297,811629,53,0,5,125,52013,178,178,1638818031008,68268,0,3338966,90
7,0.5,python,1638818032009,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2363436,289010,Intel(R) Xeon(R) Processor @ 2.50GHz,63,868,0,304,811749,53,0,5,126,52543,195,196,1638818032205,68268,0,3338966,90
8,0.5,python,1638818033206,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2361360,294593,Intel(R) Xeon(R) Processor @ 2.50GHz,63,898,0,310,811928,53,0,5,126,53186,77,78,1638818033284,68268,0,3601722,90
9,0.5,python,1638818034285,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2362192,300116,Intel(R) Xeon(R) Processor @ 2.50GHz,63,898,0,318,812134,53,0,6,127,53927,84,84,1638818034369,68268,0,13808086,90
10,0.5,python,1638818035370,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2362440,305576,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1004,0,324,812253,53,0,6,127,54481,178,178,1638818035548,68268,0,14571101,90
11,0.5,python,1638818036548,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2361532,310977,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1030,0,332,812437,53,0,6,128,55152,84,84,1638818036632,68268,0,20435111,90
12,0.5,python,1638818037634,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2361664,316448,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1115,0,339,812560,53,0,6,129,55763,82,82,1638818037716,68268,0,21476989,90
13,0.5,python,1638818038718,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2362012,321851,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1117,0,344,812768,53,0,6,129,56307,81,81,1638818038799,68268,0,21477055,90
14,0.5,python,1638818039800,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2361680,327320,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1118,0,352,812975,53,0,6,129,56891,82,82,1638818039882,68372,0,21477055,90
15,0.5,python,1638818040883,5c512acf-1f72-49e2-bd25-16130e379483,0,1638813966,AWS Lambda,2021/12/06/[$LATEST]0627a2c946814595b79b15d9c7f17b2e,root_lambda,1769,us-east-1,,Linux 169.254.139.213 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2361556,332730,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1118,0,359,813183,53,0,6,130,57438,73,73,1638818040956,68372,0,21477055,90
