measurementID,version,lang,startTime,uuid,newcontainer,vmuptime,platform,containerID,functionName,functionMemory,functionRegion,vmID,linuxVersion,totalMemory,freeMemory,pageFaults,cpuType,cpuModel,cpuUsr,cpuNice,cpuKrn,cpuIdle,cpuIowait,cpuIrq,cpuSoftIrq,vmcpusteal,contextSwitches,frameworkRuntime,runtime,endTime,network_rx_bytes.vinternal_1,network_rx_bytes.lo,network_rx_bytes.telemetry1_sb,network_rx_bytes.vtarget_1
0,0.5,python,1639134859561,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2447800,371000,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1843,0,311,455931,91,0,7,72,47424,135,135,1639134859696,85571452,80495,90,0
1,0.5,python,1639134860698,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2445312,376852,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1843,0,318,456137,91,0,7,72,48093,79,79,1639134860777,85573845,80495,90,0
2,0.5,python,1639134861778,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2445248,382824,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1844,0,325,456345,91,0,7,72,48888,83,83,1639134861861,86503405,80495,90,0
3,0.5,python,1639134862863,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2338512,414615,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1929,0,345,456468,91,0,7,72,49507,154,155,1639134863018,87100430,80495,90,0
4,0.5,python,1639134864019,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2338296,420214,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1949,0,352,456658,91,0,7,72,50085,77,77,1639134864096,87126824,80495,90,0
5,0.5,python,1639134865098,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2338484,425778,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1949,0,359,456865,91,0,7,72,50890,79,79,1639134865177,89207137,80495,90,0
6,0.5,python,1639134866178,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2337520,431336,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1949,0,367,457071,91,0,7,73,51590,78,78,1639134866256,93408643,80495,90,0
7,0.5,python,1639134867258,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2338112,436883,Intel(R) Xeon(R) Processor @ 2.50GHz,63,1951,0,374,457278,91,0,7,73,52242,73,73,1639134867331,97576522,80495,90,0
8,0.5,python,1639134868332,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2338508,442528,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2045,0,381,457409,91,0,7,75,52787,204,204,1639134868536,98340263,80495,90,0
9,0.5,python,1639134869537,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2336620,448121,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2081,0,387,457587,91,0,7,75,53365,72,72,1639134869609,98340461,80495,90,0
10,0.5,python,1639134870610,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2337488,453683,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2081,0,394,457793,91,0,7,75,54336,76,76,1639134870686,102487811,80495,90,0
11,0.5,python,1639134871688,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2337340,459272,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2163,0,399,457920,91,0,8,75,54987,78,78,1639134871766,105255938,80495,90,0
12,0.5,python,1639134872767,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2337588,464838,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2163,0,405,458126,91,0,8,75,55688,74,74,1639134872841,105258861,80495,90,0
13,0.5,python,1639134873842,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2337804,470518,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2169,0,413,458337,91,0,8,77,56470,141,141,1639134873983,106804476,80495,90,0
14,0.5,python,1639134874985,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2321760,480122,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2188,0,421,458528,91,0,8,78,57185,83,84,1639134875069,113020297,80599,90,0
15,0.5,python,1639134876070,54657d96-92a5-44f1-83c8-ff15c2ded891,0,1639132568,AWS Lambda,2021/12/10/[$LATEST]ca8a9e0eb8b14ffc9ae8fe03a02705c7,root_lambda,1769,us-east-1,,Linux 169.254.55.109 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2321836,485686,Intel(R) Xeon(R) Processor @ 2.50GHz,63,2254,0,427,458685,91,0,8,78,57834,168,168,1639134876238,118035714,80599,90,0
