measurementID,version,lang,startTime,uuid,newcontainer,vmuptime,platform,containerID,functionName,functionMemory,functionRegion,vmID,linuxVersion,totalMemory,freeMemory,pageFaults,cpuType,cpuModel,cpuUsr,cpuNice,cpuKrn,cpuIdle,cpuIowait,cpuIrq,cpuSoftIrq,vmcpusteal,contextSwitches,frameworkRuntime,runtime,endTime,network_rx_bytes.telemetry1_sb,network_rx_bytes.vtarget_1,network_rx_bytes.vinternal_1,network_rx_bytes.lo
8,0.5,python,1639133750515,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544800,420029,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5691,0,442,408290,393,0,3,114,52027,156,157,1639133750672,90,0,9830,90551
9,0.5,python,1639133751673,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544980,424195,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5795,0,449,408414,393,0,3,115,52284,183,183,1639133751856,90,0,9830,90551
10,0.5,python,1639133752858,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544104,428347,Intel(R) Xeon(R) Processor @ 2.50GHz,63,5902,0,455,408533,393,0,3,118,52578,157,157,1639133753016,90,0,9830,90551
11,0.5,python,1639133754017,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544948,432535,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6008,0,461,408649,393,0,3,119,52858,154,154,1639133754171,90,0,9830,90551
12,0.5,python,1639133755172,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544908,436681,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6111,0,468,408773,393,0,3,120,53103,163,164,1639133755336,90,0,9830,90551
13,0.5,python,1639133756337,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544788,440858,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6217,0,473,408890,393,0,3,121,53392,143,143,1639133756480,90,0,9830,90551
14,0.5,python,1639133757481,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544960,445025,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6322,0,478,409006,393,0,3,121,53683,134,134,1639133757615,90,0,9830,90655
15,0.5,python,1639133758616,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544848,449200,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6429,0,485,409124,393,0,3,122,53972,160,161,1639133758777,90,0,9830,90655
16,0.5,python,1639133759778,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544804,453364,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6535,0,491,409240,393,0,3,122,54274,152,152,1639133759930,90,0,9830,90655
17,0.5,python,1639133760931,8b530c92-6d3c-41d8-bc67-aee0cd1a122b,0,1639131675,AWS Lambda,2021/12/10/[$LATEST]2f0ad9374a5c4e8cb3f3d10ebdbb9a93,root_lambda,1769,us-east-1,,Linux 169.254.237.245 4.14.246-198.474.amzn2.x86_64 #1 SMP Wed Sep 15 00:16:00 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux,3241532,2544828,457554,Intel(R) Xeon(R) Processor @ 2.50GHz,63,6642,0,496,409357,393,0,3,123,54561,159,159,1639133761090,90,0,9830,90655
